uttr_id,happy,angry,sad,neutral,worried,surprise,video_id,start,end,text
sample_00000048,0,0,1,0,0,0,sample_00000048,0,2.2,"Pretty good, pretty good, have you finished work?"
sample_00000053,0,0,0,1,0,0,sample_00000053,0,1,We had a fight.
sample_00000055,0,0,0,0,1,0,sample_00000055,0,4.44,"The patient's weakened heart has been temporarily relieved, but this machine is not widely used."
sample_00000056,0,0,0,1,0,0,sample_00000056,0,3.4,"My mom made some dumplings, our whole family ate them, and we're all fine."
sample_00000057,0,0,0,1,0,0,sample_00000057,0,4.56,"You said you are really interesting. It's okay to joke around normally, but you actually take it seriously?"
sample_00000059,1,0,0,0,0,0,sample_00000059,0,2.48,I am constantly waiting for the day when Huang Hongbing and Jiang Yaowu will be captured.
sample_00000060,0,1,0,0,0,0,sample_00000060,0,2.64,
sample_00000062,0,1,0,0,0,0,sample_00000062,0,3.04,"He is like a ticking time bomb now, you never know when he might explode."
sample_00000063,0,1,0,0,0,0,sample_00000063,0,3.42,"You've understood it this way, which means you've already made your choice."
sample_00000065,0,1,0,0,0,0,sample_00000065,0,2.84,Received. Continue monitoring and stay concealed.
sample_00000066,0,0,0,1,0,0,sample_00000066,0,3.68,"So our demands are basically aligned now, we can make a trade."
sample_00000067,0,1,0,0,0,0,sample_00000067,0,2.87,What's wrong? Is it still because of that guy?
sample_00000068,0,0,0,1,0,0,sample_00000068,0,4.17,The Fang's family can't sweep me out of the house.
sample_00000070,0,0,0,0,1,0,sample_00000070,0,1.92,Haven't you ever been married?
sample_00000073,0,1,0,0,0,0,sample_00000073,0,3.04,"well Yu Xiaoqiang, today I will explain everything to you."
sample_00000074,0,0,1,0,0,0,sample_00000074,0,1.04,Oh.
sample_00000075,0,0,0,1,0,0,sample_00000075,0,3.72,"I graduated from a junior college, I am hardworking, diligent and serious."
sample_00000078,0,0,0,1,0,0,sample_00000078,0,3.72,"Auntie, please rest assured, I will definitely take responsibility."
sample_00000084,1,0,0,0,0,0,sample_00000084,0,3.04,"Please, can you do me a favor? After all, I am a man."
sample_00000086,0,0,0,1,0,0,sample_00000086,0,2.8,What did the doctor say? Did he say you can't make it?
sample_00000087,0,1,0,0,0,0,sample_00000087,0,5.84,"Everyone knows how much his cost is, the operations of your company, all are transparent in the eyes of those old gingers."
sample_00000088,0,1,0,0,0,0,sample_00000088,0,5.24,"There must be a reason, right? I have bosses above me, you have to let me explain to them."
sample_00000090,0,1,0,0,0,0,sample_00000090,0,2.4,Why are you only saying such depressing things today?
sample_00000091,0,0,0,1,0,0,sample_00000091,0,4.84,"But if you don't know anything about a person, how do you know whether you love them or not?"
sample_00000092,0,0,1,0,0,0,sample_00000092,0,1.88,"Leave it here, something will happen sooner or later."
sample_00000093,1,0,0,0,0,0,sample_00000093,0,3.16,Didn't you say you would jump off the building if it didn't work out?
sample_00000096,0,0,1,0,0,0,sample_00000096,0,11.44,"So I can't convince myself to go back to their house now. Thinking of my dad earnestly advising me, telling me to live well with him, and they still talk about my dad like this, I really can't stand it."
sample_00000097,1,0,0,0,0,0,sample_00000097,0,3.44,"Whether or not we win the bid has already been decided, what we're fighting for is the effort put in behind the scenes."
sample_00000099,1,0,0,0,0,0,sample_00000099,0,2.04,Is there any game to play while bathing? Is your phone waterproof?
sample_00000100,0,0,1,0,0,0,sample_00000100,0,2.8,How embarrassed I am.
sample_00000101,1,0,0,0,0,0,sample_00000101,0,1.4,"After all, you are not a local, so you don't understand the road conditions."
sample_00000104,0,0,1,0,0,0,sample_00000104,0,2.36,"You're absolutely right, there's nothing good about men."
sample_00000106,0,0,0,0,1,0,sample_00000106,0,2.36,"Master Fang, what are you going to do?"
sample_00000107,0,1,0,0,0,0,sample_00000107,0,4.57,"I've always thought, one day, our Niu Niu could sleep next to me."
sample_00000108,0,0,0,1,0,0,sample_00000108,0,1.4,Why did I come to Nepal?
sample_00000110,1,0,0,0,0,0,sample_00000110,0,6.16,"This table is really too expensive, after I left your company today."
sample_00000114,1,0,0,0,0,0,sample_00000114,0,10.95,"Okay, okay, okay, okay, okay, okay, okay. But let me be clear, if you slow down the progress, I will consider adding someone else."
sample_00000116,1,0,0,0,0,0,sample_00000116,0,8.64,"Today, I exercised my dictatorship. As the largest shareholder of the company, I have veto power. I opposed going public."
sample_00000118,0,0,0,1,0,0,sample_00000118,0,6.64,"For those who can't be resettled, let the finance and personnel department make a compensation report for me."
sample_00000121,0,1,0,0,0,0,sample_00000121,0,2.76,"This guy is quite wealthy and has some spare cash on hand, I mean I give it to West Wind."
sample_00000124,0,0,0,0,1,0,sample_00000124,0,3.44,If there is a person who is seriously pursuing me.
sample_00000126,0,0,0,0,1,0,sample_00000126,0,13.84,"Someone died, and we have to find out whose fault it is, otherwise we cannot comfort the departed soul. When did our medicine fall to the point of scapegoating? When did our frontline doctors become so timid?"
sample_00000127,1,0,0,0,0,0,sample_00000127,0,3.68,"Not exactly stupid, actually this is a very common negotiation method."
sample_00000128,0,0,0,0,1,0,sample_00000128,0,2.04,I don't have time to waste on you.
sample_00000131,0,1,0,0,0,0,sample_00000131,0,7.73,"I'm busy with the bidding process. It's now in the final stage of bidding, running around, networking, and checking the results of the bid projects."
sample_00000134,1,0,0,0,0,0,sample_00000134,0,1.72,"Why are you blaming me? It's really happened, mom."
sample_00000135,0,0,0,1,0,0,sample_00000135,0,4.24,"Okay, let me know when you've booked your return flight ticket, I'll come to pick you up. Alright, bye."
sample_00000136,0,0,0,1,0,0,sample_00000136,0,1.48,Are you going to my house?
sample_00000138,0,1,0,0,0,0,sample_00000138,0,8.8,"What have you been doing since you resigned? Checking my wallet, checking my mailbox, checking my phone, none of these count. You have to question all the women I know."
sample_00000141,0,0,0,1,0,0,sample_00000141,0,2.4,That's true indeed.
sample_00000143,0,1,0,0,0,0,sample_00000143,0,4.37,"If you fall into the water, you won't drown. But if you stay in the water, you will drown."
sample_00000144,0,0,0,1,0,0,sample_00000144,0,7,She is the daughter of a leader in the Health Bureau. We have been together for seven years. Everyone says that he was promoted to the position of deputy chief physician at the speed of light.
sample_00000145,0,1,0,0,0,0,sample_00000145,0,1.28,"Of course, there are differences."
sample_00000147,0,0,0,1,0,0,sample_00000147,0,4.76,Why is it always you making the decisions? I don't want to be a machine.
sample_00000148,1,0,0,0,0,0,sample_00000148,0,1.16,Brother-in-law
sample_00000151,1,0,0,0,0,0,sample_00000151,0,3.68,"No, I think you should reconsider the matter of the book, even if it means rewriting it."
sample_00000152,0,1,0,0,0,0,sample_00000152,0,3.6,"Can you honestly tell me today, what exactly is the relationship between you two?"
sample_00000153,0,0,0,0,0,1,sample_00000153,0,1.57,"Director Bai, you're also paying attention to this matter!"
sample_00000154,0,1,0,0,0,0,sample_00000154,0,2.76,"We come from the town, we are the police."
sample_00000156,1,0,0,0,0,0,sample_00000156,0,1.56,Is everything okay at home?
sample_00000157,0,0,0,1,0,0,sample_00000157,0,3.28,"Yes, I am a public interest lawyer who provides free services for the disadvantaged groups."
sample_00000159,1,0,0,0,0,0,sample_00000159,0,4.24,"Speak up, how much money would make you willing to leave our family, Jiang Lai."
sample_00000160,0,0,0,1,0,0,sample_00000160,0,3.2,My mom is also from the Northeast.
sample_00000162,0,0,0,1,0,0,sample_00000162,0,2.92,"Gaoyuan, let's go, I'll take you to change your ticket."
sample_00000163,0,0,1,0,0,0,sample_00000163,0,9.28,"But it seems now, I am superfluous, you are already confident and happy."
sample_00000166,1,0,0,0,0,0,sample_00000166,0,1.2,Ah? I...
sample_00000167,0,1,0,0,0,0,sample_00000167,0,2.4,"So, the first time I had a meal with you was also to thank you."
sample_00000169,0,0,1,0,0,0,sample_00000169,0,2.68,"Why don't you listen to what I say? You, as a person,"
sample_00000171,0,1,0,0,0,0,sample_00000171,0,5.52,"Actually, between people, perhaps some concealment is needed."
sample_00000174,0,0,1,0,0,0,sample_00000174,0,2.72,What?
sample_00000175,0,1,0,0,0,0,sample_00000175,0,3.28,Can you explain how a mother doesn't care about her daughter's well-being?
sample_00000176,1,0,0,0,0,0,sample_00000176,0,5.12,"So I'm afraid that after you know my true identity, we will  create a sense of distance."
sample_00000178,1,0,0,0,0,0,sample_00000178,0,2.93,"And it's a win-win situation, why wouldn't you do it?"
sample_00000181,0,0,0,1,0,0,sample_00000181,0,1.16,Do you like it?
sample_00000182,0,0,0,0,1,0,sample_00000182,0,2.56,The director holds a very high position in this industry.
sample_00000183,1,0,0,0,0,0,sample_00000183,0,14.24,"Haokun, no matter how big the grudge between us, we are still brothers. I'm impressed that you could resort to such underhanded tactics."
sample_00000184,0,1,0,0,0,0,sample_00000184,0,5.49,"Don't you have the keys to my brother's house? Let them move things at my brother's place. The one who caused trouble is my brother, not you."
sample_00000185,0,1,0,0,0,0,sample_00000185,0,3.72,"Exactly, isn't Peach supposed to be dating someone?"
sample_00000187,0,0,0,0,0,1,sample_00000187,0,2.58,"I also can't imagine, my future life wearing a suit and tie."
sample_00000188,0,0,0,1,0,0,sample_00000188,0,8.28,"She has been feeling down these past few days, and I guess she also realizes that the chances of recovery are slim."
sample_00000190,0,0,1,0,0,0,sample_00000190,0,1.4,But the person who should cry is me.
sample_00000191,0,0,0,1,0,0,sample_00000191,0,3.12,How did you do it? Teach me.
sample_00000193,0,0,0,1,0,0,sample_00000193,0,4.13,"We will return to Shanghai tomorrow. You must not feel any psychological pressure, and even more so, you should not blame yourself."
sample_00000194,0,0,0,1,0,0,sample_00000194,0,6.17,"That is a matter between him and me. It has nothing to do with you, and it will not concern you in the future."
sample_00000195,0,0,0,1,0,0,sample_00000195,0,2.56,"Getting married, oh my, congratulations!"
sample_00000196,0,0,1,0,0,0,sample_00000196,0,2.12,"They are a Dan role in Chinese opera, possessing the skills of a child actor."
sample_00000197,0,0,0,0,0,1,sample_00000197,0,3.45,She specifically asked us to join her for this meal.
sample_00000198,0,1,0,0,0,0,sample_00000198,0,5.36,"I am very disappointed in you. If you don't start telling the truth, I will have no choice but to report you to the school authorities and have your study privileges revoked."
sample_00000200,0,0,0,1,0,0,sample_00000200,0,1.05,"Dean, can I stay here for two days?"
sample_00000201,0,0,0,0,0,1,sample_00000201,0,4.04,
sample_00000202,1,0,0,0,0,0,sample_00000202,0,4.12,Don't be so unfair to people.
sample_00000203,0,0,0,0,1,0,sample_00000203,0,6.38,"She is my father's aunt, and my grandmother never got married in her whole life."
sample_00000204,0,1,0,0,0,0,sample_00000204,0,7.29,"Although you have helped them solve their immediate problem, Aunt Fan will have to figure out how to cover the subsequent medical expenses on her own. If she can borrow money, I can try to find a doctor to help."
sample_00000206,0,0,0,0,1,0,sample_00000206,0,4.42,"My daughter is bringing her boyfriend to meet me, I will keep an eye on them."
sample_00000208,0,0,0,1,0,0,sample_00000208,0,1.54,"Hello, aunt."
sample_00000209,0,1,0,0,0,0,sample_00000209,0,1.2,Daddy is coming home.
sample_00000211,0,1,0,0,0,0,sample_00000211,0,2.76,"The sign at the entrance of the hotel reads, ""Guests are as welcome as if at home,"" which means it's just like being at home."
sample_00000213,0,0,0,0,1,0,sample_00000213,0,2.6,Is it useful to ask you? Are you ready to be a father? Luo Yiyang.
sample_00000215,0,1,0,0,0,0,sample_00000215,0,1.65,This matter is easy to handle.
sample_00000217,0,0,0,1,0,0,sample_00000217,0,7.36,"Our family has been living a hard life for generations, and no one has ever respected us."
sample_00000218,0,1,0,0,0,0,sample_00000218,0,4.24,"Isn't it thirty eight degrees that hasn't arrived yet? Thirty eight degrees is considered a fever, isn't it funny when I go here?"
sample_00000220,1,0,0,0,0,0,sample_00000220,0,0.76,Ah
sample_00000223,1,0,0,0,0,0,sample_00000223,0,6.2,"If a relationship has lasted for a long seven years without progressing to marriage, it can generally be concluded that the relationship has failed."
sample_00000224,0,0,0,0,0,1,sample_00000224,0,7.76,"I understand now. I just need to set my goals. If the other party can accept them, we cooperate. If not, then forget it. There's no need for all the fuss."
sample_00000225,0,1,0,0,0,0,sample_00000225,0,2.28,Are you sure they haven't dated before?
sample_00000226,0,0,0,0,1,0,sample_00000226,0,1.32,"You wouldn't mind not seeing each other for a year or two, right?"
sample_00000227,1,0,0,0,0,0,sample_00000227,0,1.52,Of course.
sample_00000228,1,0,0,0,0,0,sample_00000228,0,1.6,Why should there be compensation without responsibility?
sample_00000231,0,0,0,1,0,0,sample_00000231,0,0.92,I want to work hard to make money.
sample_00000233,1,0,0,0,0,0,sample_00000233,0,7.84,
sample_00000234,1,0,0,0,0,0,sample_00000234,0,5.17,"Fei Ge, I saw your assistant come to pick you up today, you have a performance today, right? You must be especially tired, right?"
sample_00000236,0,1,0,0,0,0,sample_00000236,0,3,"I have to go now, Xiao Guan is waiting for me in the underground garage."
sample_00000239,0,0,0,0,1,0,sample_00000239,0,3.89,"You endured all the harsh words he said, I know it was for me."
sample_00000240,0,0,0,0,1,0,sample_00000240,0,2.92,"Wow, you're really tough! You can handle this punishment!"
sample_00000241,0,0,0,0,1,0,sample_00000241,0,6.92,"If I weren't sick, I would go out and cook for others. Not only would I provide so much food, but I would also have to give several hundred dollars. Have I ever asked anyone for a penny?"
sample_00000243,1,0,0,0,0,0,sample_00000243,0,2.28,"Even if we can't win, we must fight. If we don't fight, how can we get our money back?"
sample_00000246,0,1,0,0,0,0,sample_00000246,0,3.48,"Andy, I think you're not in the right state."
sample_00000247,0,0,1,0,0,0,sample_00000247,0,3.04,"It seems, I came for nothing today."
sample_00000248,0,0,0,1,0,0,sample_00000248,0,3.16,"What does ""police-civilian co-building"" mean? Old Xu, your awareness is a bit low."
sample_00000249,0,0,0,1,0,0,sample_00000249,0,5.28,"I've been so good to Ji Zi usually, how could she do this? If it weren't for you, I would still be in the dark."
sample_00000250,0,0,0,0,1,0,sample_00000250,0,3,"We are all of this age now, drinking too much is not good for our health."
sample_00000252,0,0,0,1,0,0,sample_00000252,0,4.08,"By the way, how's your job search going?"
sample_00000253,0,0,0,1,0,0,sample_00000253,0,5.44,"No, this car, it wasn't my choice, it was chosen by Zhao Chong."
sample_00000255,1,0,0,0,0,0,sample_00000255,0,6.16,"Are you looking for a daughter-in-law for your son, or a drinking buddy for yourself? I think long-haired, quiet and gentle ones are great."
sample_00000256,0,0,0,1,0,0,sample_00000256,0,3.32,"If I had known the truth at that time, I wouldn't have left the United States."
sample_00000257,0,0,0,0,1,0,sample_00000257,0,3.12,"So, he never intended to pick up me and your dad."
sample_00000258,0,0,0,0,1,0,sample_00000258,0,1.72,
sample_00000259,0,0,0,1,0,0,sample_00000259,0,4.12,"Mom, I've taken over the company now, can you please stop worrying so much?"
sample_00000261,1,0,0,0,0,0,sample_00000261,0,7.84,"I've been studying desperately. After all these years, I'm the only university student from our place. I can't go back."
sample_00000262,0,1,0,0,0,0,sample_00000262,0,6.24,"He's been happy for half a day, does he know how much we worry about him? So, there's only one way this jerk is going to die, and that's by dying of pleasure."
sample_00000263,0,1,0,0,0,0,sample_00000263,0,3.04,"Especially real, especially adorable, completely different from the people I know."
sample_00000265,0,0,1,0,0,0,sample_00000265,0,4.38,
sample_00000266,1,0,0,0,0,0,sample_00000266,0,0.72,I'm not stingy.
sample_00000267,1,0,0,0,0,0,sample_00000267,0,5.92,"Everyone is fragile, unable to withstand any tests, you present yourself nakedly in front of him."
sample_00000268,0,1,0,0,0,0,sample_00000268,0,10.24,"I want to stay in the obstetrics department, but I didn't help him. I was thinking, if he wants to take it away and I stop him, he will get angry and I won't be able to get in even more. What can I do then?"
sample_00000269,0,0,0,1,0,0,sample_00000269,0,3.68,"Actually, Dr. Cheng, I really think you could write a book."
sample_00000276,0,0,0,1,0,0,sample_00000276,0,10.67,
sample_00000277,0,0,1,0,0,0,sample_00000277,0,2.76,"This is my home, you, you, and you."
sample_00000278,0,1,0,0,0,0,sample_00000278,0,4.76,"You're welcome, I'm so hungry, let's order takeout."
sample_00000279,0,1,0,0,0,0,sample_00000279,0,3.36,"No need, she doesn't know how long it will take to get better. You can go back first, we can just take a taxi home."
sample_00000280,1,0,0,0,0,0,sample_00000280,0,4.24,"Think it through, don't be impulsive."
sample_00000282,0,1,0,0,0,0,sample_00000282,0,6.96,Do you know how many years I've waited for you to appear?
sample_00000285,0,1,0,0,0,0,sample_00000285,0,3.08,Why are you so negative when facing a little setback?
sample_00000286,0,0,1,0,0,0,sample_00000286,0,8.4,"It's not that, I just feel like, you know, she's not as cute and innocent as when we first met."
sample_00000288,0,0,0,1,0,0,sample_00000288,0,11.29,Since.
sample_00000289,0,0,1,0,0,0,sample_00000289,0,1.39,I often take the plane.
sample_00000291,0,0,1,0,0,0,sample_00000291,0,3.24,What's the matter? Are you pressuring me to get pregnant again?
sample_00000293,0,0,1,0,0,0,sample_00000293,0,3.2,Did you fire me?
sample_00000294,0,0,0,1,0,0,sample_00000294,0,2.36,"A few days ago, didn't you introduce a potential partner to him?"
sample_00000295,0,0,0,1,0,0,sample_00000295,0,5,"To be honest, I really admire Qu Xiaoxiao's straightforward personality."
sample_00000296,0,0,0,0,1,0,sample_00000296,0,11.8,"What do I want to say to you? I want to say that you are so heartless. What did Qin Zhaomei do wrong to you? For your measly five million, she came to Singapore with me and almost lost her life, and you treated her just like this."
sample_00000297,0,0,0,1,0,0,sample_00000297,0,2.36,"Wait, I'll make you leave sooner or later."
sample_00000299,0,1,0,0,0,0,sample_00000299,0,3.04,I don't mind.
sample_00000304,0,0,0,1,0,0,sample_00000304,0,2.2,I mean
sample_00000305,0,0,0,0,1,0,sample_00000305,0,0.88,
sample_00000308,1,0,0,0,0,0,sample_00000308,0,1,Did Liang Zhijun participate?
sample_00000309,0,0,1,0,0,0,sample_00000309,0,2.93,"As an unemployed person, do you enjoy deliberately making things difficult for me?"
sample_00000310,0,0,1,0,0,0,sample_00000310,0,5.24,"Oh no, don't invite him over. You guys should hang out somewhere else. What if that Zhu sister comes to make a fuss again?"
sample_00000311,0,0,0,0,1,0,sample_00000311,0,1.68,I have to invite you for a meal.
sample_00000312,0,1,0,0,0,0,sample_00000312,0,7.12,"I and my sister, who was born from the same egg, her life is my life."
sample_00000313,0,1,0,0,0,0,sample_00000313,0,3.28,Huh
sample_00000315,0,0,0,1,0,0,sample_00000315,0,2.92,"Are you backing out? You're waiting for this to fall through, aren't you? Are you backing out?"
sample_00000316,0,0,1,0,0,0,sample_00000316,0,2.76,If only we could have a granddaughter for me in the future.
sample_00000317,1,0,0,0,0,0,sample_00000317,0,1.96,"Mom, you were really beautiful when you were young."
sample_00000319,0,1,0,0,0,0,sample_00000319,0,2.76,How many hospitals have I been to? Can it be cured? But nothing can be found.
sample_00000321,0,0,0,0,0,1,sample_00000321,0,5.04,You'd better ask your daughter why she keeps hurting our Xiaoqiang's hand.
sample_00000324,0,0,0,0,1,0,sample_00000324,0,1.6,
sample_00000325,0,1,0,0,0,0,sample_00000325,0,3.88,"We just had a big fight, and my boyfriend pushed me to the ground."
sample_00000326,0,1,0,0,0,0,sample_00000326,0,3.28,"When I see you like this, I feel that these words are really true."
sample_00000327,0,1,0,0,0,0,sample_00000327,0,1.96,"What you said is so abrupt, isn't it?"
sample_00000329,0,1,0,0,0,0,sample_00000329,0,3.6,"I find that you, as a person, are quite my type."
sample_00000331,0,1,0,0,0,0,sample_00000331,0,4.12,"Did you make it back? That deal in Changsha, could you have gotten away if I hadn't distracted the police?"
sample_00000337,0,0,0,0,1,0,sample_00000337,0,2.72,"No matter what, I won't agree with your dad because she rudely interrupted you twice."
sample_00000338,0,0,1,0,0,0,sample_00000338,0,4.56,"Oh no, my phone and wallet are both in the bag."
sample_00000339,0,0,0,0,1,0,sample_00000339,0,3.76,What do you mean? Are you saying that Brother Lin is interested in Xiao Guan?
sample_00000342,0,1,0,0,0,0,sample_00000342,0,2.6,"Hao Zhi, are you the Hao Zhi from Fuwai Hospital?"
sample_00000346,0,0,1,0,0,0,sample_00000346,0,2.48,"Which one do you want, the child or the woman?"
sample_00000348,0,0,0,1,0,0,sample_00000348,0,3.16,"But he remembers everyone else, why doesn't he recognize me?"
sample_00000349,1,0,0,0,0,0,sample_00000349,0,3.64,"Alright, now it's just the two of us left, which is fine."
sample_00000350,0,1,0,0,0,0,sample_00000350,0,5.28,"Sis, I feel so upset."
sample_00000351,0,0,0,1,0,0,sample_00000351,0,3.4,I don't know.
sample_00000352,0,0,1,0,0,0,sample_00000352,0,4.29,"This child is getting a bit old, she's anxious, and you're not getting any younger either."
sample_00000353,0,0,0,1,0,0,sample_00000353,0,4.72,"Wuran, I'm going to have surgery tomorrow."
sample_00000355,1,0,0,0,0,0,sample_00000355,0,1.24,Dad supports you.
sample_00000358,0,0,0,1,0,0,sample_00000358,0,3.92,"She grew up in a single-parent family, always living with her mother."
sample_00000360,1,0,0,0,0,0,sample_00000360,0,0.6,Ah.
sample_00000361,0,0,1,0,0,0,sample_00000361,0,5.32,"I understand the mindset of a man, what is too easily obtained is not easily cherished. Don't look back one day, wave your hand, without taking away a single cloud."
sample_00000363,1,0,0,0,0,0,sample_00000363,0,3.08,I came back late last night. I hope I didn't disturb you.
sample_00000365,0,0,1,0,0,0,sample_00000365,0,1.8,"You make me believe in you, I believed, so why did you deceive me?"
sample_00000368,0,0,0,1,0,0,sample_00000368,0,0.8,Who are you?
sample_00000370,0,0,0,0,1,0,sample_00000370,0,4.38,"Forget it, in their eyes, I'm just their money-making machine."
sample_00000372,0,0,0,0,1,0,sample_00000372,0,3.52,"Zhao Xiaolu, Sister Zhao, can't you just ignore me like I'm nothing?"
sample_00000374,0,1,0,0,0,0,sample_00000374,0,2.6,Ah! Isn't this a suicidal pace?
sample_00000375,0,1,0,0,0,0,sample_00000375,0,12.28,"Since we are going to replace someone, it's a good opportunity for you to take control of our filming costs again."
sample_00000381,1,0,0,0,0,0,sample_00000381,0,3.56,"You look so slim, but you're heavy to lift."
sample_00000382,1,0,0,0,0,0,sample_00000382,0,2.04,"I can do without this money, but I need a house to live in."
sample_00000383,0,0,1,0,0,0,sample_00000383,0,1.79,Who are you texting so late?
sample_00000385,0,1,0,0,0,0,sample_00000385,0,2.53,"Cool, right?"
sample_00000386,0,0,1,0,0,0,sample_00000386,0,2.08,"You said, what if the peach and the sunflower don't work out."
sample_00000388,0,0,1,0,0,0,sample_00000388,0,3.36,"I don't think I'm very important, I just don't understand why you hurt me like this."
sample_00000393,0,0,0,1,0,0,sample_00000393,0,3.4,Is it Cai Weilan's phone number? What are you going to do with him in the middle of the night?
sample_00000394,0,1,0,0,0,0,sample_00000394,0,3.97,"You're welcome, there's no need to thank me. In the words of Uncle Lei Feng, this is all something I should do."
sample_00000396,0,0,0,0,0,1,sample_00000396,0,1.36,"Sure, I'll laugh with you."
sample_00000397,0,1,0,0,0,0,sample_00000397,0,5.41,"Oh dear, I'm so tired from sitting on a plane all day! I won't bother you guys today, when we have time, let's have a good chat."
sample_00000398,0,1,0,0,0,0,sample_00000398,0,3.08,"Yes, I am unfilial, and I don't want to give you an even more unfilial grandson."
sample_00000399,0,0,0,1,0,0,sample_00000399,0,2.72,"She can still wag her tail at me, a woman who can't even give birth to a child."
sample_00000402,0,0,0,1,0,0,sample_00000402,0,7.46,"If anyone dares to pass me another beer, I swear I'll smash it in their face."
sample_00000403,0,0,0,1,0,0,sample_00000403,0,5.48,Tell me honestly.
sample_00000405,0,0,0,1,0,0,sample_00000405,0,2.76,"No, no, then I might as well obey with respect."
sample_00000406,0,0,0,1,0,0,sample_00000406,0,2.52,I'm wondering if QiDian has a partner.
sample_00000407,0,0,0,0,0,1,sample_00000407,0,3.46,"Yes, I hate him."
sample_00000408,1,0,0,0,0,0,sample_00000408,0,3.29,"I'm not as smart as Andy, nor am I as wealthy as her, so you all favor her, right?"
sample_00000409,0,0,0,1,0,0,sample_00000409,0,3.32,Hospital? What happened to you? Do you need my help now?
sample_00000412,0,0,0,1,0,0,sample_00000412,0,4.52,Just now I asked who approved the expenditure of these funds? They said it was you who suggested that I might agree.
sample_00000415,0,1,0,0,0,0,sample_00000415,0,1.73,I'm already fine.
sample_00000416,0,0,0,0,1,0,sample_00000416,0,0.52,It's all my fault.
sample_00000418,0,0,1,0,0,0,sample_00000418,0,2.32,When will you learn to protect yourself and take responsibility for yourself?
sample_00000420,0,0,1,0,0,0,sample_00000420,0,4.92,"But books require literacy.  Even an illiterate can enjoy a film, right?  Your competitor is cross talk."
sample_00000422,0,0,0,0,0,1,sample_00000422,0,4.88,"So do you think I was better the way I was before, or the way I am now?"
