uttr_id,video_id,start,end,text,valence,arousal,dominance
sample_00004412,sample_00004412,0,8.12,"Private hospital? Community hospital? Oh, these conditions shouldn't be for Zou Yimeng. Why don't you persuade her?",0.0,0.0,0.0
sample_00005971,sample_00005971,0,2.72,I am pondering whether it is a peach or not.,-0.756,0.66,0.208
sample_00006182,sample_00006182,0,8.68,There's not much difference between my life in Shanghai and now. The irony is that the editor-in-chief asked me to come here to find happiness.,0.0,0.0,0.0
sample_00006664,sample_00006664,0,7.92,"It's better if you didn't know about this matter, but now that you do, you won't blame me for not telling you, will you?",-0.756,0.66,0.208
sample_00003238,sample_00003238,0,5.68,"You said we have been mother-in-law and daughter-in-law for seven years,but sometimes when you look at a person, you really see it in a minute.",0.0,0.0,0.0
sample_00001355,sample_00001355,0,6.28,"You have the opportunity now, the chance to realize your dreams.",0.568,0.71,0.078
sample_00003396,sample_00003396,0,3.72,"It doesn't matter, after all, his salary is equivalent to your annual bonus.",-0.756,0.66,0.208
sample_00005633,sample_00005633,0,2.8,"Classmate, you've mistaken me for someone else, haven't you?",1.0,0.47,0.544
sample_00000060,sample_00000060,0,2.64,,-0.756,0.66,0.208
sample_00002814,sample_00002814,0,6.12,"""Sorry"" is the evidence. That's right, why are you saying sorry? You dare to admit it, right? If this matter were on you.",0.0,0.0,0.0
sample_00000928,sample_00000928,0,2.08,"Besides, they are the ones who will be interviewing you, it's not just about you showing up.",0.0,0.0,0.0
sample_00004071,sample_00004071,0,3.56,"Got it, this, this, this, this shopping card.",-0.756,0.66,0.208
sample_00001480,sample_00001480,0,6.48,"Even if I let you go to Italy, given your circumstances, you might not necessarily get the visa.",0.568,0.71,0.078
sample_00003201,sample_00003201,0,12.2,"Old Zhang, as expected, um, something urgent came up at home again, um, I need to go back for a bit. I'm asking for an hour off, could you cover for me for a while? Please, please, please, I'll treat you to a meal, I'll treat you to a meal! Alright then.",-0.812,0.648,-0.21
sample_00000621,sample_00000621,0,6.01,"Mom. I'm sorry, I'm sorry.",-0.756,0.66,0.208
sample_00002598,sample_00002598,0,2.92,"Really quite busy, I didn't feel it before.",1.0,0.47,0.544
sample_00003710,sample_00003710,0,1.72,"Yes, Teacher Zhang.",0.0,0.0,0.0
sample_00000195,sample_00000195,0,2.56,"Getting married, oh my, congratulations!",0.0,0.0,0.0
sample_00000381,sample_00000381,0,3.56,"You look so slim, but you're heavy to lift.",1.0,0.47,0.544
sample_00001655,sample_00001655,0,3.2,"Lu Xiaoxing, let me go back. You don't let me perform, I hate you forever.",0.0,0.0,0.0
sample_00004320,sample_00004320,0,1.76,"I'm not shouting on purpose, I'm afraid you can't hear me.",0.0,0.0,0.0
sample_00000938,sample_00000938,0,2.21,"Manage your son well, huh.",0.0,0.0,0.0
samplenew_00009583,samplenew_00009583,0,8.16,"Hello, hello, are you the Work-Study Service Company?",-0.55,-0.334,-0.702
samplenew_00011371,samplenew_00011371,0,9.41,"But as long as I'm here for a day, I will treat her as the most important person, hold her in the palm of my hand, and do everything I can to stay by her side.",0.568,0.71,0.078
sample_00006444,sample_00006444,0,2.92,Are you implying that I killed Shen Wei?,0.0,0.0,0.0
sample_00003207,sample_00003207,0,4.52,It's not your fault. The meeting was called on short notice because there is an important matter to announce.,-0.812,0.648,-0.21
sample_00001207,sample_00001207,0,4.68,"Well, you should get a good sleep then.",0.0,0.0,0.0
sample_00005011,sample_00005011,0,1.12,"So, before Mr. Sa returns, I will be your acting homeroom teacher.",0.568,0.71,0.078
sample_00000350,sample_00000350,0,5.28,"Sis, I feel so upset.",-0.756,0.66,0.208
sample_00001788,sample_00001788,0,3.56,"Even if I am interested, such conditions are also reasonable, aren't they?",-0.812,0.648,-0.21
sample_00005114,sample_00005114,0,2.28,"Buy some offerings, cook a few dishes, will it cost two thousand?",-0.756,0.66,0.208
sample_00000433,sample_00000433,0,1.52,What if your family disagrees with you?,1.0,0.47,0.544
sample_00006661,sample_00006661,0,11.24,I should have fallen off that bridge with Liang Cong in the first place.,0.0,0.0,0.0
sample_00005936,sample_00005936,0,2.44,"He's looking for you again, what does he want to talk about?",-0.756,0.66,0.208
sample_00002817,sample_00002817,0,2.08,Is he wearing a blue jacket?,-0.756,0.66,0.208
sample_00003162,sample_00003162,0,2.04,"Zhong Zhiyong, could you please step aside for a moment?",1.0,0.47,0.544
sample_00001227,sample_00001227,0,1.12,Is everything okay at home?,0.0,0.0,0.0
sample_00002983,sample_00002983,0,2.32,"If you keep talking nonsense, do you believe I will slap you?",0.0,0.0,0.0
sample_00000005,sample_00000005,0,5.8,I have a clean and sincere heart that faces emotions.,-0.55,-0.334,-0.702
sample_00006273,sample_00006273,0,7.36,"Hey, Duan Zhicheng, may I ask what's the date today? Where is your alimony?",1.0,0.47,0.544
sample_00001094,sample_00001094,0,1.64,"For the sake of a lousy man, sacrificing oneself.",-0.812,0.648,-0.21
sample_00000253,sample_00000253,0,5.44,"No, this car, it wasn't my choice, it was chosen by Zhao Chong.",0.0,0.0,0.0
sample_00004155,sample_00004155,0,1.3,I have to take the test again.,0.568,0.71,0.078
sample_00004934,sample_00004934,0,1.28,That expression is particularly flustered.,0.0,0.0,0.0
samplenew_00023998,samplenew_00023998,0,4.42,"In this lifetime, just wait for the death of the princess.",0.0,0.0,0.0
sample_00003843,sample_00003843,0,3.64,"We don't agree with what's going on between Xiao Qiang and Gu Qing, we can't accept this gift.",-0.756,0.66,0.208
sample_00001523,sample_00001523,0,4.96,What do you mean? Are you all unwilling for me and Cheng Jun to compete for the position of chief resident?,0.0,0.0,0.0
sample_00003551,sample_00003551,0,5.6,"Just asking, haven't you eaten? Do you want to eat a little?",-0.756,0.66,0.208
sample_00000338,sample_00000338,0,4.56,"Oh no, my phone and wallet are both in the bag.",-0.55,-0.334,-0.702
sample_00001071,sample_00001071,0,3.84,"Well, I might as well add to your chaos then.",-0.55,-0.334,-0.702
samplenew_00013705,samplenew_00013705,0,4.42,"As for that small restaurant of mine, every morning, I have to go and stock up on supplies anyway.",0.0,0.0,0.0
sample_00005538,sample_00005538,0,1.6,"She is willing to pay an exceptionally high price, wanting you to do that for her.",1.0,0.47,0.544
sample_00001704,sample_00001704,0,4.28,"At this moment, as a doctor, you need to maintain a proper distance with him, but what about you?",1.0,0.47,0.544
sample_00003068,sample_00003068,0,3.88,What did she eat this morning?,1.0,0.47,0.544
sample_00001684,sample_00001684,0,2.64,"Dad, please start working hard, you will have money once you work hard.",1.0,0.47,0.544
sample_00001280,sample_00001280,0,1.84,He is quite busy with his work.,-0.756,0.66,0.208
sample_00003370,sample_00003370,0,4.12,I feel guilty for causing you a lot of trouble when you were at your most beautiful.,1.0,0.47,0.544
sample_00002804,sample_00002804,0,6.44,"Auntie, I originally wanted to earn some money for everyone, but I didn't expect it to turn out like this, auntie.",-0.55,-0.334,-0.702
sample_00006442,sample_00006442,0,4.24,"Today, my aunt really opened her eyes, I met a crazy old woman.",-0.756,0.66,0.208
sample_00003781,sample_00003781,0,2.92,Start counting.,0.568,0.71,0.078
sample_00001246,sample_00001246,0,2.4,"With your words, we all feel reassured. Since you're going to mend your ways.",0.0,0.0,0.0
sample_00002108,sample_00002108,0,4.6,"It seems like she has been at odds with Xiao Qiu these past few days, it's been a few days now.",0.0,0.0,0.0
sample_00002114,sample_00002114,0,3.6,"Ah? You drank too much yesterday, you threw up on me.",-0.756,0.66,0.208
sample_00002504,sample_00002504,0,1.83,"It can't be found, right?",0.0,0.0,0.0
sample_00000059,sample_00000059,0,2.48,I am constantly waiting for the day when Huang Hongbing and Jiang Yaowu will be captured.,1.0,0.47,0.544
sample_00004982,sample_00004982,0,2.42,This day is still passable.,-0.756,0.66,0.208
sample_00001331,sample_00001331,0,3.56,"Whoever checks in, registers. Otherwise, if you violate the public security regulations, are you responsible?",0.0,0.0,0.0
sample_00003806,sample_00003806,0,3.96,My daughter has a strong personality and is difficult to manage. She often causes trouble.,-0.55,-0.334,-0.702
sample_00001057,sample_00001057,0,1.2,Who is this jumping?,1.0,0.47,0.544
sample_00002035,sample_00002035,0,3.72,"Surprise, I told you I would keep surprising you.",0.0,0.0,0.0
sample_00006046,sample_00006046,0,5.52,"However, as a long-standing employee of the company, I feel that everyone's thoughts boil down to two points.",0.0,0.0,0.0
sample_00006142,sample_00006142,0,1.04,Thirty-three?,0.568,0.71,0.078
sample_00005211,sample_00005211,0,4.28,"Be careful in your actions, don't always be with men. There are gossips.",-0.756,0.66,0.208
sample_00002834,sample_00002834,0,4.08,"I'm just curious, how do you work in the kitchen?",-0.756,0.66,0.208
sample_00001189,sample_00001189,0,4.08,"Regarding those previous matters, you specifically came to apologize to me for them.",-0.812,0.648,-0.21
sample_00004734,sample_00004734,0,4.73,"Su Ermei, work is not child's play. I asked an employee to inform me in advance before leaving the job. Did I do something wrong?",-0.55,-0.334,-0.702
sample_00001711,sample_00001711,0,5.32,"If one person ignores you, it might be their problem. But if everyone ignores you, you need to start looking for the problem within yourself.",0.0,0.0,0.0
sample_00002791,sample_00002791,0,2.2,Still with a bit of shyness.,-0.55,-0.334,-0.702
sample_00005154,sample_00005154,0,1.67,It ends here.,1.0,0.47,0.544
sample_00003836,sample_00003836,0,8.4,"Qiu Bozhao, don't push people too far. I've known for a long time that all these years, you've been thinking about Yang Xuehua in your heart.",-0.812,0.648,-0.21
sample_00000187,sample_00000187,0,2.58,"I also can't imagine, my future life wearing a suit and tie.",0.568,0.71,0.078
sample_00003167,sample_00003167,0,1.88,She is avoiding me from such a distance.,-0.756,0.66,0.208
sample_00006427,sample_00006427,0,2.56,"As a strong woman like you, shouldn't you be the one who takes responsibility for your own actions?",-0.55,-0.334,-0.702
sample_00002601,sample_00002601,0,2.4,Did your mother teach you to behave like this?,-0.756,0.66,0.208
samplenew_00013852,samplenew_00013852,0,4.92,"From the Chinese character for ""bitter"", the uncle associated it with bitter melon.",-0.812,0.648,-0.21
sample_00001313,sample_00001313,0,4.76,"No, no, no.",-0.756,0.66,0.208
sample_00001288,sample_00001288,0,2.68,"Ah, yes.",-0.55,-0.334,-0.702
sample_00003753,sample_00003753,0,3.84,"I went to see her yesterday, and then, played a little trick.",-0.756,0.66,0.208
sample_00002122,sample_00002122,0,2.28,It's a miracle that I've lived this long.,0.0,0.0,0.0
sample_00002337,sample_00002337,0,3.36,,-0.55,-0.334,-0.702
sample_00005539,sample_00005539,0,3.46,"I certainly won't, unless he makes himself clear.",-0.756,0.66,0.208
sample_00001864,sample_00001864,0,3.68,"Then let me tell you something, man to man.",0.0,0.0,0.0
sample_00005860,sample_00005860,0,4.96,"The thing is, the aunt said, a woman specifically delivered two hundred thousand to them.",-0.55,-0.334,-0.702
sample_00002652,sample_00002652,0,3.24,"Tomorrow is Saturday, let's go boating in Nanhu Park. Will you come with me?",1.0,0.47,0.544
sample_00001376,sample_00001376,0,1.68,,-0.55,-0.334,-0.702
sample_00000848,sample_00000848,0,3.88,Who else could it be? You are my only idol.,-0.756,0.66,0.208
sample_00003123,sample_00003123,0,8.44,"Currently, Xiao Qu is constantly busy meeting with potential suitors, and Xiao Fan, being a person who cares deeply about face, refuses to mention Wang Baichuan, so that's how it appears on the surface.",1.0,0.47,0.544
sample_00004301,sample_00004301,0,6.17,"Yes, I am indeed seeking revenge on this wealthy bastard, I want to make his life a living hell.",0.0,0.0,0.0
sample_00004173,sample_00004173,0,1.64,,-0.812,0.648,-0.21
sample_00002243,sample_00002243,0,5.52,"Thank you! I'm telling you the truth, I'm really happy today. This is the first time I've received a gift from a boy in my life.",-0.55,-0.334,-0.702
sample_00000617,sample_00000617,0,2.04,"You were asked to bring your parents before the exam, why didn't they come?",-0.812,0.648,-0.21
samplenew_00016116,samplenew_00016116,0,5.98,"I'm not sure if wild vegetables count, but how about I steam some wild vegetable dumplings to stave off the general's hunger?",-0.812,0.648,-0.21
sample_00006531,sample_00006531,0,2.0,"Well, if it's cancelled, it's cancelled then.",-0.55,-0.334,-0.702
sample_00006341,sample_00006341,0,3.5,"It's not that I want money, it's your younger brother who is being pushed to the brink of suicide by his creditors.",-0.756,0.66,0.208
sample_00002788,sample_00002788,0,1.2,Two hundred thousand?,-0.812,0.648,-0.21
samplenew_00070977,samplenew_00070977,0,4.56,"Xiaoyu, I wrote an apology letter on behalf of my grandfather to your grandmother. Please pass it on to her.",0.568,0.71,0.078
sample_00006215,sample_00006215,0,5.68,"Today, I am on duty at the front desk, assigned by my supervisor, Teacher Xiao Pang. Since I am standing there, I have the authority to question the people coming and going.",1.0,0.47,0.544
sample_00005592,sample_00005592,0,2.4,Didn't you see your brother not even coming home?,0.0,0.0,0.0
sample_00004480,sample_00004480,0,1.2,Go out!,-0.756,0.66,0.208
sample_00003472,sample_00003472,0,4.88,Which community hospital could you go to? Do you know what the situation is there?,-0.756,0.66,0.208
sample_00000255,sample_00000255,0,6.16,"Are you looking for a daughter-in-law for your son, or a drinking buddy for yourself? I think long-haired, quiet and gentle ones are great.",1.0,0.47,0.544
samplenew_00004920,samplenew_00004920,0,4.28,I have no way to tell anyone.,0.0,0.0,0.0
sample_00004975,sample_00004975,0,2.88,"He is officially meeting my parents, we are going to discuss about getting married.",1.0,0.47,0.544
sample_00006792,sample_00006792,0,1.76,Mom can't live without you.,0.0,0.0,0.0
sample_00002180,sample_00002180,0,4.52,"Not willing to give? If you're not willing, it shows you've got something to hide in your heart! Cao Xiaoqiang.",-0.756,0.66,0.208
sample_00002075,sample_00002075,0,2.88,"I just realized, Comrade Ai Xiaotian, you really do have thoughtful things to say.",-0.812,0.648,-0.21
sample_00004906,sample_00004906,0,1.84,I have a few questions to ask you.,1.0,0.47,0.544
sample_00004675,sample_00004675,0,4.28,"You have many friends, if you see someone suitable, help introduce them to him.",-0.756,0.66,0.208
samplenew_00025102,samplenew_00025102,0,6.08,"Qu Liang, you have forgotten our vow.",0.568,0.71,0.078
sample_00001173,sample_00001173,0,3.84,Why does everything change when he comes back?,-0.756,0.66,0.208
sample_00006905,sample_00006905,0,2.04,The uncle of my ex-husband is associated with that hospital.,1.0,0.47,0.544
sample_00006658,sample_00006658,0,5.74,"I can't recognize your voice when I'm holding my nose, you high-tech, high-quality photographer.",1.0,0.47,0.544
sample_00005206,sample_00005206,0,5.32,"Seriously, tell me what it is?",-0.756,0.66,0.208
sample_00004271,sample_00004271,0,10.16,"Don't worry too much, she will be with you from now on. No, this child will definitely go to college sooner or later. Once she goes to college, she will definitely live on campus. So, it's only on weekends that she might come back to spend time with you. Please take the trouble to accompany her more.",-0.756,0.66,0.208
sample_00001356,sample_00001356,0,1.08,"No, I'm hungry.",0.0,0.0,0.0
sample_00000174,sample_00000174,0,2.72,What?,-0.55,-0.334,-0.702
sample_00001344,sample_00001344,0,6.04,"This is also a life lesson I gained after being overwhelmed by debts the year before last, almost jumping off a building. I'll discuss it with you in detail later.",1.0,0.47,0.544
sample_00006163,sample_00006163,0,2.52,"Please sit down, you sit first.",-0.812,0.648,-0.21
sample_00000532,sample_00000532,0,5.54,Really? You still keep it now?,1.0,0.47,0.544
sample_00002558,sample_00002558,0,3.0,But she still has feelings for Gao Jianling now.,-0.756,0.66,0.208
sample_00005051,sample_00005051,0,3.52,"This way, you can both earn a good living and gain social recognition.",-0.756,0.66,0.208
sample_00006897,sample_00006897,0,2.64,"Is it me thinking dirty, or are you acting dirty?",-0.812,0.648,-0.21
sample_00002348,sample_00002348,0,2.0,Ah. Weiwei is pregnant.,0.568,0.71,0.078
sample_00005306,sample_00005306,0,4.92,"Let's use the agricultural products from our hometown. I've even thought of a name for my shop, it will be called ""Little Flower Restaurant"".",0.568,0.71,0.078
sample_00003499,sample_00003499,0,5.8,"Alright, take Wenxue around to familiarize with the various departments, and come to my office in ten minutes. I have a special task to assign to you.",-0.812,0.648,-0.21
sample_00003347,sample_00003347,0,6.22,The purpose of placing you here is to help you quickly find the feeling of being a leader and to get a taste of authority.,-0.812,0.648,-0.21
sample_00002135,sample_00002135,0,4.52,"Able to hold a frugal wedding, understands how to live life.",1.0,0.47,0.544
sample_00001491,sample_00001491,0,1.64,[Laughter],-0.55,-0.334,-0.702
sample_00000217,sample_00000217,0,7.36,"Our family has been living a hard life for generations, and no one has ever respected us.",0.0,0.0,0.0
sample_00005141,sample_00005141,0,3.32,Can I not take it to heart?,-0.812,0.648,-0.21
sample_00004726,sample_00004726,0,4.06,"No, I don't want anything anymore.",-0.812,0.648,-0.21
sample_00003595,sample_00003595,0,1.48,Why did you let her go back? You even went to the bathroom alone.,1.0,0.47,0.544
sample_00005837,sample_00005837,0,6.16,"In the future, when dealing with Xue Sumei and her daughter, you must always be vigilant and careful not to be deceived.",0.0,0.0,0.0
sample_00004589,sample_00004589,0,6.42,"What if something really happens, ah, you just walk away, how sad the people at home will be?",0.568,0.71,0.078
sample_00006694,sample_00006694,0,3.32,Such outrageous behavior deserves severe punishment.,-0.812,0.648,-0.21
sample_00003786,sample_00003786,0,4.64,"No, no, no, don't worry about this matter. The matter of having a child can't be rushed.",-0.812,0.648,-0.21
samplenew_00020158,samplenew_00020158,0,4.29,"You are the one who can bring spring breeze to Taotao, and also the one who pulls her into the abyss.",-0.756,0.66,0.208
sample_00006939,sample_00006939,0,3.21,"Oh my, I need to know, I should take it to the store to have it sewn for you.",0.568,0.71,0.078
sample_00003696,sample_00003696,0,2.64,"I'm really afraid of running into her, that would be a big trouble.",1.0,0.47,0.544
sample_00002248,sample_00002248,0,2.72,"What's there to fear? Over time, fear will fade away.",-0.756,0.66,0.208
sample_00003620,sample_00003620,0,1.79,"Sorry, but the takeaway can only be placed at the front desk.",0.568,0.71,0.078
sample_00003889,sample_00003889,0,3.64,"Don't be too sad, Ouyang.",0.0,0.0,0.0
sample_00000675,sample_00000675,0,1.34,I won't take on your tasks in the future.,1.0,0.47,0.544
sample_00003635,sample_00003635,0,4.2,"Yep, our family should stick together.",0.0,0.0,0.0
sample_00000572,sample_00000572,0,2.8,,-0.812,0.648,-0.21
sample_00004076,sample_00004076,0,2.84,"I am worried about Mr. Wei, he may not be as good as you imagine.",1.0,0.47,0.544
sample_00002952,sample_00002952,0,1.48,Your daughter's performance is quite good.,-0.812,0.648,-0.21
sample_00001959,sample_00001959,0,11.76,"Lao Tan, my younger brother has been confirmed as mentally ill.",-0.756,0.66,0.208
sample_00003520,sample_00003520,0,2.04,"It's a big happy day, it may not be appropriate for us to go.",-0.756,0.66,0.208
sample_00003438,sample_00003438,0,9.6,"He has been in prison for a long time, he is afraid of light.",1.0,0.47,0.544
sample_00000114,sample_00000114,0,10.95,"Okay, okay, okay, okay, okay, okay, okay. But let me be clear, if you slow down the progress, I will consider adding someone else.",1.0,0.47,0.544
sample_00004583,sample_00004583,0,6.45,"Stay strong, my friend, who has encountered troubles again. She insisted that I must talk to you about it.",1.0,0.47,0.544
sample_00004865,sample_00004865,0,3.36,"Yuan Hao, don't you think you're being too selfish by saying that?",-0.756,0.66,0.208
sample_00002987,sample_00002987,0,3.24,What is this situation?,-0.756,0.66,0.208
sample_00006037,sample_00006037,0,4.61,"Yuan Hao, congratulations! I will definitely cooperate with you to make the company better and reassure Mr. An.",-0.756,0.66,0.208
sample_00006815,sample_00006815,0,1.76,Ah.,-0.55,-0.334,-0.702
sample_00003719,sample_00003719,0,2.85,How can you be indecisive when selling lottery tickets?,1.0,0.47,0.544
sample_00005990,sample_00005990,0,2.08,"You don't have to go as far as selling your car, where's your mom? Your sister?",-0.812,0.648,-0.21
